ITEM-ID	DESC-1	DESC-2	VEND-ID	VEND-ITEM-ID	PROD-CLS	KEYWORD	STK-UOM	CST-UOM	PRC-UOM	TYPE	CHARACTERISTICS	BUYER-CD	ALW-SLS-HIST	ALW-SERIALIZED	WARRANTY ITEM	ALW-PERC-LVL-ADJ	ALW-COMMIS	ALW-LOT-INVEN	MFG-PUR-REP-SURCHG	PHANTOM	ALW-MODEL-ITEM	ALW-BACKFLUSH	REV-DT	EFF-DT	WGT-UOM	STD-CSTIML	COMMIS-PERC	UNT-WGT
0885-AA1-F          	END PLATE                	REV B                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	4/15/1998	1/23/1998	      	0	0	0
0885-AA1-G          	END PLATE                	REV B                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	4/15/1998	1/23/1998	      	0	0	0
0885-AA1-H          	GUSSET                   	REV B                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	4/15/1998	1/23/1998	      	0	0	0
0885-AA1-I          	GUSSET                   	REV B                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	4/15/1998	1/23/1998	      	0	0	0
0885-AA1-J          	GUSSET                   	REV B                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	4/15/1998	1/23/1998	      	0	0	0
0885-AA1-LH         	ENGINE-TRANS MTG. LH     	REV B                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	4/15/1998	1/30/1998	      	0	0	0
0885-AA1-RH         	ENGINE-TRANS MTG. RH     	REV B                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	4/15/1998	1/30/1998	      	0	0	0
0886-AA1-001        	ENGINE-TRANS MTG.LH      	REV                      	      	                    	FGIN	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	1/23/1998	      	0	5	0
0886-AA1-A          	BRACKET                  	REV                      	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	1/23/1998	      	0	0	0
0886-AA1-B          	GUSSET                   	REV                      	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	1/23/1998	      	0	0	0
0891-KK1            	"SUPT-STRG.GEAR,FRT.ENG   "	REV -    C1701           	      	                    	FGIN	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	4/25/1997	      	0	5	0
089281              	"CLAMP,MUFFLER            "	REV A 02/27/90           	      	                    	FGIN	LESCO          	EA    	EA    	EA    	  	                              	   	Y	 	 	 	N	 	M	 	 	 	2/27/1990	11/12/1999	      	0	0	0
0900-AA1            	MOUNT W/A RR CAT         	I/R                      	      	                    	FGIN	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	6/16/1998	      	0	5	0
0900-AA1-1          	BRKT ENG MTG             	I/R                      	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	6/16/1998	      	0	0	0
0900-AA1-2          	PLATE                    	I/R                      	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	6/16/1998	      	0	0	0
0900-AA1-3          	WASHER                   	I/R                      	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	6/16/1998	      	0	0	0
0905-KK1            	BRKT-MITER BOX MTG. RH   	REV  INITIAL RELEASE     	      	                    	FGIN	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	6/5/1997	      	49.5	5	0
0907-KK1            	SPACER - ROTARY GEAR     	REV INTIAL RELEASE C2064 	      	                    	FGIN	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	5/28/1997	      	0	5	0
0908-KK1            	SPACER - STEERING        	REV A  C2111             	      	                    	FGIN	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	6/6/1997	5/28/1997	      	0	5	0
0914-KK1            	SUPT-STRG GEAR RH STEER  	REV A C2193              	      	                    	FGIN	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	7/9/1997	6/19/1997	      	0	5	0
0915-KK1            	                         	                         	      	                    	    	               	      	      	      	  	                              	   	 	 	 	 	 	 	 	 	 	 	        	        	      	0	0	0
0916-AA1            	SUPPORT W/ASSY           	I/R                      	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	5/26/2000	      	0	0	0
0916-AA1-A          	SUPT PLATE               	REV I/R                  	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	5/26/2000	      	0	0	0
0916-AA1-B          	SUPT PLATE               	REV I/R                  	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	5/26/2000	      	0	0	0
0917-KK1            	"SUPT-STRG.GEAR,FRT.ENG.  "	REV INTIAL   C2169       	      	                    	FGIN	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	6/25/1997	      	0	5	0
0917-KK1-A          	SUPT-STRG.GEAR BRKT      	INITIAL RELEASE          	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	6/25/1997	      	0	0	0
0917-KK1-B          	SUPT-STRG.GEAR ROD       	INITIAL RELEASE          	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	6/25/1997	      	0	0	0
0918-AA1            	SUPT ENGINE PALLET       	I/R                      	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	5/26/2000	      	0	0	0
0919-AA1-001        	ENGINE PALLET ASSY RR MTG	REV B                    	      	                    	FGIN	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	8/31/2000	      	0	0	0
0919-AA1-A          	PLATE FILL               	REV B                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	6/5/2000	      	0	0	0
0919-AA1-B          	PLATE FILL               	REV B                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	6/5/2000	      	0	0	0
0919-AA1-C          	RAIL PALLET              	REV B                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	6/5/2000	      	0	0	0
0919-AA1-D          	RAIL PALLET              	REV B                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	6/5/2000	      	0	0	0
0921-KK1            	MOUNT-STRG GEAR TO FRM RH	REV INTIAL RELEASE C2227 	      	                    	FGIN	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	9/23/1997	      	0	5	0
0921-KK1-A          	GUSSET                   	REV INTIAL RELEASE C2227 	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	9/23/1997	      	0	0	0
0921-KK1-B          	BRACKET                  	REV INTIAL RELEASE C2227 	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	9/23/1997	      	0	0	0
0922-KK1            	"SUPT-STRG GEAR RH W/14""HT"	REV A  C2558             	      	                    	FGIN	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	11/3/1997	9/23/1997	      	0	5	0
0922-KK1-A          	BRACKET                  	REV A  C2558             	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	11/3/1997	9/23/1997	      	0	0	0
0922-KK1-B          	LARGE GUSSET             	REV A  C2558             	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	11/3/1997	9/23/1997	      	0	0	0
0922-KK1-C          	SMALL GUSSET             	REV A   C2558            	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	11/3/1997	9/23/1997	      	0	0	0
0926-KK1            	STRG.GEAR BRKT.SILVER CRK	REV A  C2399             	      	                    	FGIN	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	9/4/1997	      	0	5	0
0926-KK1-A          	GUSSET                   	REV A C2399              	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	9/4/1997	      	0	0	0
0926-KK1-B          	BRKT                     	REV A  C2399             	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	9/4/1997	      	0	0	0
0926-KK1-C          	PLATE                    	REV A  C2399             	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	9/4/1997	      	0	0	0
093-0364            	SPACER                   	REV 01                   	      	                    	FGIN	CATERPILLAR    	EA    	EA    	EA    	1	                              	   	Y	Y	N	N	N	N	M	N	N	N	        	7/1/2003	      	2.62	0	0
093032              	"BAND,UPPER MUFFLER CLAMP "	REV C 03/13/92           	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	3/13/1992	4/17/2000	      	0	0	0
093159              	"BASE,UPPER MUFFLER CLAMP "	REV B 05/22/90           	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	5/22/1990	4/17/2000	      	0	0	0
0934-KK1            	SUPPORT-TAS 40 STRG.GEAR 	REV IR  C2332            	      	                    	FGIN	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	8/29/1997	      	0	5	0
0934-KK1-A          	GUSSET                   	REV IR   C2332           	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	8/29/1997	      	0	0	0
0934-KK1-B          	BRACKET-SUPPORT          	REV IR   C2332           	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	8/29/1997	      	0	0	0
093828              	"UPPER CLAMP,MUFFLER      "	REV D 03/13/92           	      	                    	FGIN	LESCO          	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	3/13/1992	4/17/2000	      	0	0	0
094960              	"HINGE,DEFLECTOR          "	REV C 04/10/95           	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	4/10/1995	6/21/2000	      	0	0	0
0950-AA1            	PALLET CROSSMEMBER       	I/R                      	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	6/6/2000	      	0	0	0
0950-AA1-001        	CROSSMEMBER RR           	I/R                      	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	6/6/2000	      	0	0	0
0959-AA1-001        	CROSSMEMBER PALLET       	I/R                      	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	6/6/2000	      	0	0	0
0966-AA1-001        	ENGINE PALLET ASSY       	REV B                    	      	                    	FGIN	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	9/1/2000	5/31/2000	      	0	0	0
0966-AA1-A          	RAIL PALLET              	REV B1                   	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	9/1/2000	6/1/2000	      	0	0	0
0966-AA1-B          	RAIL PALLET              	REV B1                   	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	9/1/2000	6/1/2000	      	0	0	0
0966-AA1-C          	PLATE BENT               	I/R                      	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	6/6/2000	      	0	0	0
0966-AA1-D          	RAIL RH FRT              	REV B1                   	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	9/1/2000	6/28/2000	      	0	0	0
0966-AA1-E          	PLATE FRAME              	REV B1                   	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	9/1/2000	6/28/2000	      	0	0	0
0967-AA1            	SUPT ENGINE FRT          	I/R                      	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	6/6/2000	      	0	0	0
0967-AA1-001        	ENGINE CROSSMEMBER FRT   	I/R                      	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	6/6/2000	      	0	0	0
0968-KK1-001        	BRKT-STRG GEAR           	REV B                    	      	                    	FGIN	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	11/12/1999	1/26/1998	      	0	5	0
0968-KK1-A          	BRACKET                  	REV B                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	11/12/1999	1/26/1998	      	0	0	0
0968-KK1-B          	BRACKET                  	REV B                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	11/12/1999	1/26/1998	      	0	0	0
0968-KK1-C          	BRKT BENT                	REV B                    	      	                    	PART	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	 	 	 	N	 	M	 	 	 	11/12/1999	5/13/1999	      	0	0	0
097095              	"HUB, IMPELLER            "	REV. A                   	91402	                    	PURC	COMPONENT      	EA    	EA    	EA    	  	                              	   	N	 	 	 	N	 	P	 	 	 	4/16/1993	4/6/1999	      	0	0	0
0971-KK1            	BRKT.SUPT.FRAME TO STGEAR	REV A E0957              	      	                    	FGIN	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	3/15/1999	12/10/1997	      	0	5	0
0971-KK1-A          	GUSSET                   	REV A                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	3/15/1999	12/10/1997	      	0	0	0
0971-KK1-B          	BRACKET                  	REV A                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	3/15/1999	12/10/1997	      	0	0	0
0972-KK1            	BRKT-FRAME TO TRW MITRBOX	REV INITIAL RELEASE C2721	      	                    	FGIN	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	12/10/1997	      	0	5	0
097782              	"GUSSET,TAILWHEEL FORK    "	REV B 04/05/94           	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	4/5/1994	6/7/2000	      	0	0	0
097867              	"VANE, IMPELLER           "	NO REVISIONS             	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	4/6/1999	      	0	0	0
098666              	"PLATE, BACKING, IMPELLER "	NO REVISIONS             	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	N	 	M	 	 	 	        	4/6/1999	      	0	0	0
0989-FF1            	SUPT-UPPER RAD.          	REV A   C2818            	      	                    	FGIN	SPARTAN        	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	1/28/1998	8/7/1997	      	0	5	0
1 OF 6 SCREEN       	A.R.E. SCREEN SHAPE      	                         	      	                    	FGIN	A.R.E.         	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	6/11/2001	      	0	0	0
1.0 X 3.0 SCREEN    	SCREEN 1.0 X 3.00 PAINTED	                         	      	                    	CONS	ARE            	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	4/10/2001	      	0	0	0
"1/2"" STD WASHER     "	                         	                         	      	                    	PART	NORTON         	E     	E     	E     	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	        	      	0	0	0
10-0062-800         	OPERATING LEVER STMPG    	REV E                    	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	7/19/1996	      	0	5	0
10-1310-51          	SIDE PANEL L.H. S.S.     	REV 0                    	      	                    	PART	DYNAMIC        	EA    	EA    	EA    	0	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/15/2004	      	0	0	0
10-1310-53          	INNER FLANGE             	REV 0                    	      	                    	PART	DYNAMIC        	EA    	EA    	EA    	0	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/15/2004	      	0	0	0
10-1310-55          	BOLSTER WRAPPER S.S.     	REV 0                    	      	                    	PART	DYNAMIC        	EA    	EA    	EA    	0	                              	PAN	Y	Y	N	N	Y	N	M	N	N	N	        	9/15/2004	      	0	0	0
10-1311-00          	CONTROL BOLSTER W/A S.S. 	REV 7                    	      	                    	FGIN	DYNAMIC        	EA    	EA    	EA    	7	                              	CNT	Y	Y	N	N	Y	N	M	N	N	N	        	9/15/2004	      	0	0	0
10-1311-51          	SIDE PANEL L.H. S.S.     	REV 3                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	3	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/15/2004	      	0	0	0
10-1311-52          	SIDE PANEL R.H. S.S.     	REV 0                    	      	                    	PART	DYNAMIC        	EA    	EA    	EA    	0	                              	PAN	Y	Y	N	N	Y	N	M	N	N	N	        	9/15/2004	      	0	0	0
10-1311-53          	LOWER CATCH LIP BOTT S.S.	REV 3                    	      	                    	PART	DYNAMIC        	EA    	EA    	EA    	3	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/15/2004	      	0	0	0
10-1316-00          	WRAPPER BOTT. S.S.       	REV 01                   	      	                    	FGIN	DYNAMIC        	EA    	EA    	EA    	1	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/14/2004	      	59.68	0	0
10-1316-00-1        	WRAPER BOTT S.S.         	REV 0                    	      	                    	PART	DYNAMIC        	EA    	EA    	EA    	0	                              	PAN	Y	Y	N	N	Y	N	M	N	N	N	        	9/15/2004	      	0	0	0
10-1316-52          	SIDE PANEL R.H. S.S.     	REV 0                    	      	                    	PART	COMPONENT      	RA    	EA    	EA    	0	                              	PAN	Y	Y	N	N	Y	N	M	N	N	N	        	9/15/2004	      	0	0	0
10-1320-00          	DOOR W/ASSY S.S.         	REV 0                    	      	                    	FGIN	DYNAMIC        	EA    	EA    	EA    	0	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/15/2004	      	52.87	0	0
10-1320-51          	DOOR S.S.                	REV 0                    	      	                    	PART	DYNAMIC        	EA    	EA    	EA    	0	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/15/2004	      	0	0	0
10-1320-52          	HANGER DOOR S.S.         	REV 0                    	      	                    	PART	DYNAMIC        	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/15/2004	      	0	0	0
10-1411-00          	GAS BOLSTER ASSY S.S.    	REV 0                    	      	                    	FGIN	DYNAMIC        	EA    	EA    	EA    	0	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/15/2004	      	162.02	0	0
10-1411-51          	LEFT SIDE GB. S.S.       	REV 0                    	      	                    	PART	DYNAMIC        	EA    	EA    	EA    	0	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/15/2004	      	35.95	0	0
10-1411-52          	RIGHT SIDE S.S.          	REV 3                    	      	                    	PART	DYNAMIC        	EA    	EA    	EA    	0	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/15/2004	      	6.59	0	0
10-1411-53          	WRAPPER GAS BOLSTER S.S. 	REV 3                    	      	                    	PART	DYNAMIC        	EA    	EA    	EA    	3	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/15/2004	      	35.95	0	0
10-1416-00          	WRAPPER BOTT. STAINLESS  	REV 01                   	      	                    	FGIN	DYNAMIC        	EA    	EA    	EA    	1	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/14/2004	      	46.37	0	0
10-1600-00          	LID W/ASSY S.S.          	REV O                    	      	                    	FGIN	DYNAMIC        	EA    	EA    	EA    	0	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/14/2004	      	203.55	0	0
10-1600-51          	LID S.S.                 	REV 0                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	0	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/14/2004	      	64.61	0	0
10-1600-52          	HINGE REINFORCEMENT      	REV 0                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	0	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/14/2004	      	7.04	0	0
10-1600-53          	STRICKER BAR             	REV 0                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	0	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	9/14/2004	      	23.94	0	0
10-ESMPC            	SIDE BUMP ANGLE          	                         	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	2/1/2000	      	0	0	0
100-01              	100NC STOVE BODY         	IR                       	      	                    	FGIN	SCHROCK STOVE  	EA    	EA    	EA    	IR	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	5/9/2005	      	2.4	0	0
100-03              	100NC STOVE TOP          	IR                       	      	                    	FGIN	SCHROCK STOVE  	EA    	EA    	EA    	IR	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	5/9/2005	      	0	0	0
100-07              	100 NC & 50 NC GLASS DOOR	IR                       	      	                    	FGIN	SCHROCK STOVE  	EA    	EA    	EA    	IR	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	5/9/2005	      	1.73	0	0
100-1001            	FRAME                    	REV O                    	      	                    	FGIN	T.C. MFG.      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	Y	 	M	 	 	 	        	        	LB    	0	0	1
100-1002            	YOKE HALF                	REV H                    	      	                    	FGIN	T.C. MFG.      	EA    	EA    	EA    	  	                              	OS 	Y	 	 	 	Y	 	M	 	 	 	        	3/8/1990	LB    	0	0	1
100-1003            	HANDLE                   	REV  D                   	      	                    	FGIN	TC MFG         	EA    	EA    	EA    	  	                              	OS 	Y	 	 	 	Y	 	M	 	 	 	        	3/8/1990	LB    	0	0	1
100-1033            	PUSHER ASSY              	REV B                    	      	                    	FGIN	T.C. MFG.      	EA    	EA    	EA    	  	                              	AA 	Y	 	 	 	Y	 	M	 	 	 	5/4/1995	4/3/1991	LB    	0	0	1
100-1033-1          	PLATE PUSHER             	REV B                    	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	N	 	M	 	 	 	        	4/4/1991	LB    	0	0	1
100-1033-2          	BRKT PUSHER              	                         	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	OS 	Y	 	 	 	N	 	M	 	 	 	        	4/4/1991	LB    	0	0	1
1000-13B            	RESTRAINING DEVICE UPPER 	                         	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	N	 	M	 	 	 	        	        	LB    	0	0	1
1000-22             	TORQUE ARM WELD ASSY     	                         	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	   	Y	 	 	 	N	 	M	 	 	 	        	        	LB    	0	0	1
1001 HARDWARE KIT   	KIT INCLUDES HDW FOR UNIT	ADD'L HDW W/BRACKET KIT  	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	AC 	Y	 	 	 	N	 	P	 	 	 	        	6/20/1992	      	0	0	1
1001-05             	W/A: SHOCK PLATE ASSEMBLY	REV-01                   	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	AC 	Y	 	 	 	Y	 	M	 	 	 	        	7/3/1991	      	0	0	1
1001-13C            	UPPER AIR SPRING MOUNT   	REV-01                   	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	AC 	Y	 	 	 	N	 	M	 	 	 	        	7/3/1991	      	0	0	1
1001-13D            	VALVE ROD MOUNT          	REV-01                   	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	AC 	Y	 	 	 	N	 	M	 	 	 	        	7/3/1991	      	0	0	1
1001-13E            	SHOCK STUD SPACER        	REV-01                   	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	AC 	Y	 	 	 	N	 	M	 	 	 	        	7/3/1991	      	0	0	1
1001-24A            	COIL OVER SHOCK ANGLE BKT	REV-01                   	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	AC 	Y	 	 	 	N	 	M	 	 	 	        	7/3/1991	      	0	0	1
1001-24AB KIT       	C.O.S ANGLE BRACKET KIT  	COIL OVER SHOCK          	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	AC 	Y	 	 	 	Y	 	M	 	 	 	        	11/11/1991	      	0	0	1
1001-24C            	ANGLE BRACKET KIT        	REV-01                   	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	AC 	Y	 	 	 	Y	 	M	 	 	 	        	11/9/1991	      	0	0	1
1001-24C KIT        	ANGLE BRACKET KIT        	DOGBN/DONUT & FACTORY AIR	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	AC 	Y	 	 	 	Y	 	M	 	 	 	        	11/11/1991	      	0	0	1
1001-24D            	ANGLE BRACKET            	REV-01                   	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	AC 	Y	 	 	 	Y	 	M	 	 	 	        	11/9/1991	      	0	0	1
1001-24D KIT        	ANGLE BRACKET KIT        	AUTOCAR                  	      	                    	FGIN	FINISHED GOODS 	EA    	EA    	EA    	  	                              	AC 	Y	 	 	 	Y	 	M	 	 	 	        	11/11/1991	      	0	0	1
1001-24E            	WASHER                   	REV-01                   	      	                    	PART	COMPONENT      	EA    	EA    	EA    	  	                              	AC 	Y	 	 	 	Y	 	M	 	 	 	        	7/10/1991	      	0	0	1
10011               	T-80 STRIKER ASSY        	I/R                      	      	                    	FGIN	A.R.E. INC     	EA    	EA    	EA    	  	                              	   	Y	Y	N	N	Y	N	M	N	N	N	        	11/6/2001	      	0	4.83	0
