ITEM-ID	WHSE-CD	LAST-ACT-DT	LAST-ORD-DT	LAST-SHIP-DT	LAST-RCPT-DT	LST-TRAN-DT	LST-ADJ-DT	ECON-ORD-QTY	SHP-LEAD-TM	VEND-LD-TM	STD-COST	AVG-COST	LST-RCPT-CST	ON HAND	REL-QTY	BO-QTY	FUT-QTY	ON-ORD-QTY	MTD-RCPT	MTD-SALES	MTD-ADJ	MTD-TRAN	MTD-BOOKED	YTD-BO	QTD-PUR	PQ-PUR	DESC-1	DESC-2	VEND-ID	VEND-ITEM-ID	PROD-CLS	KEYWORD	STK-UOM	CST-UOM	PRC-UOM	TYPE	CHARACTERISTICS	BUYER-CD	ALW-SLS-HIST	ALW-SERIALIZED	WARRANTY ITEM	ALW-PERC-LVL-ADJ	ALW-COMMIS	ALW-LOT-INVEN	MFG-PUR-REP-SURCHG	PHANTOM	ALW-MODEL-ITEM	ALW-BACKFLUSH	REV-DT	EFF-DT	WGT-UOM	STD-CSTIML	COMMIS-PERC	UNT-WGT
11154																											INTERNAL BAR				FGIN	FINISHED GOODS	EA	EA	EA				Y				Y		M					11/18/1993		0	5	1
11608																											PUSH ROD	REV G			FGIN	FINISHED GOODS	EA	EA	EA				Y				Y		M					3/21/1990	LB	0	5	0
11810																											PUSH ROD	SEE ARIENS #88633			FGIN	FINISHED GOODS	EA	EA	EA		REPLACED BY ARIENS #88633		Y				Y		M					7/31/1990	LB	0	5	0
12436																											BRKT				FGIN	FINISHED GOODS	EA	EA	EA				Y				Y		M					2/12/1993		0	5	1
12666																											BRKT				FGIN	FINISHED GOODS	EA	EA	EA				Y				Y		M				8/17/1993			0	0.05	1
12967																											CONTROL BRKT	REV-B			FGIN	FINISHED GOODS	EA	EA	EA				Y				Y		M					6/30/1992		0	5	1
13206																											ROLLER GUARD PLATE				PART	FINISHED GOODS	EA	EA	EA				Y				Y		M					2/19/1997		0	0	0
13207																											ROLLER GUARD BRKT AY.				PART	FINISHED GOODS	EA	EA	EA				Y				Y		M					2/19/1997		0	0	0
13747																											BRACKET-UD-PTO	REV			PART	FINISHED GOODS	EA	EA	EA				Y				Y		M					4/29/1997		0	0	0
13859																											BKT CLUTCH ROD BRG				PART	NOT PAINTED	EA	EA	EA				Y				Y		M					2/15/1994		0	5	1
14427																											BKT				FGIN	FINISHED GOODS	EA	EA	EA		NO PAINT		Y				Y		M					5/12/1994		0	5	0
15012																											PAK355 HANDLE NO LABELS				FGIN	INTERPAK	EA	EA	EA				Y				Y		M					11/21/1996		0	0	0
15013																											PAK 353 CART NO LABELS				FGIN	INTERPAK	EA	EA	EA				Y				Y		M					11/21/1996		0	0	0
15206																											PIN WELDMENT	REV-B			FGIN	FINISHED GOODS	EA	EA	EA				Y				Y		M					3/5/1992		0	5	1
15208																											KING PIN	REV-B			PART	COMPONENT	EA	EA	EA				Y				N		M					3/23/1992		0	0	1
15209																											TIE ROD ARM	REV-A			PART	COMPONENT	EA	EA	EA				Y				N		M					3/23/1992		0	0	1
15210																											WASHER				PART	COMPONENT	EA	EA	EA				Y				N		M					3/23/1992		0	0	1
15361																											MOUNTING BRACKET	REV A			FGIN	FINISHED GOODS	EA	EA	EA				Y				Y		M					5/7/1992		0	5	1
16570																																																				0	0	0
16698																											BRACKET				PART	NOT PAINTED	EA	EA	EA				Y				Y		M					1/10/1994		0	5	1
017873																											COVER, IMPELLER HUB      	REV. A			PART	COMPONENT	EA	EA	EA				Y				N		M				4/16/1993	4/6/1999		0	0	0
019810																											PIVOT LINK	REV. A, DATED 07/13/90   			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	7/13/1990	12/10/1999		0	0	0
022324																											SPRING ANCHOR,R.H.WING   	DWG.NO. A-022324 / REV.A			FGIN	LESCO	EA	EA	EA				Y				Y		M					10/14/1998		0	0	0
023345																											AXLE BRACKET SPACER-#1060	REV. C, DATED 08/15/95   			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	8/15/1995	12/8/1999		0	0	0
025085																											LOCKING TAB	REV B 8/25/89			PART	COMPONENT	EA	EA	EA			TAB	Y			N	N	N	M	N	N	N	8/25/1989	11/12/1999	32	0	0	0
025093																											LATCH, REEL VALVE        	REV G, DATED 07/18/90    			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	7/18/1990	12/14/1999		0	0	0
025149																											PUMP BRACKET FRONT	REV INITIAL RELEASE			PART	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	3/18/1986	5/10/2000		7.47	0	0
025150																											PUMP BRACKET REAR	REV.INITIAL RELEASE			PART	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	1/19/1987	5/10/2000		7.12	0	0
025184																											BACK LAP STOP	DWG.NO. B-025184 / REV.C			FGIN	LESCO	EA	EA	EA				Y				Y		M					10/14/1998		0	0	0
025195																											BRACKET, MOW LIFT SHAFT  	REV. D, DATED 09/20/93   			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	9/20/1993	12/8/1999		0	0	0
025216																											PANEL,VALVE CONTROL      	REV L 111693			PART	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	11/16/1993	5/9/2000		33.16	0	0
025280																											TAILWHEEL FORK ASS'Y	DWG.NO. C-025280 / REV.E			FGIN	LESCO	EA	EA	EA				Y				Y		M					10/1/1998		0	0	0
025348																											STRAP, OIL TANK          	DWG.NO. B-025348 / REV.C			FGIN	LESCO	EA	EA	EA				Y				Y		M				11/20/1992	11/13/1998		0	0	0
025396																											TAILWHEEL FORK	REV B 7/20/89			PART	COMPONENT	EA	EA	EA			BRK	N			N	N	N	M	N	N	N	7/20/1989	8/25/1999	32	0	0	0
025405																											TAILWHEEL FORK ASSY,     	REV C 11/12/93			FGIN	LESCO	EA	EA	EA				N				N		M				11/12/1993	8/25/1999		0	0	0
025501																											ARM, LEFT FRONT          	REV.D ECN-3189			PART	COMPONENT	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N		8/17/2000		0	0	0
026459																											BLOWER IDLER PIVOT MFG.	DWG.NO. B-026459 / REV.B			FGIN	LESCO	EA	EA	EA				Y				Y		M					10/14/1998		0	0	0
030453																											SHIFT PLATE W/STRAP TABS	REV E 02/09/96			FGIN	LESCO	EA	EA	EA				Y	Y	N	N	Y	N	M	N	N	N	2/9/1996	3/24/2000		0	0	0
